Time,TIMESTAMP
2023-11-16 18:15:47,1
2023-11-16 18:15:51,3
2023-11-16 18:15:53,2
2023-11-16 18:15:54,1
2023-11-16 18:15:55,4
2023-11-16 18:15:56,2
2023-11-16 18:15:57,2
2023-11-16 18:15:58,2
2023-11-16 18:15:59,1
2023-11-16 18:16:00,3
2023-11-16 18:16:01,3
2023-11-16 18:16:04,2
2023-11-16 18:16:05,2
2023-11-16 18:16:06,1
2023-11-16 18:16:07,4
2023-11-16 18:16:08,3
2023-11-16 18:16:09,1
2023-11-16 18:16:10,2
2023-11-16 18:16:11,2
2023-11-16 18:16:12,5
2023-11-16 18:16:13,4
2023-11-16 18:16:14,2
2023-11-16 18:16:15,5
2023-11-16 18:16:16,2
2023-11-16 18:16:17,1
2023-11-16 18:16:18,3
2023-11-16 18:16:19,2
2023-11-16 18:16:20,6
2023-11-16 18:16:21,3
2023-11-16 18:16:22,1
2023-11-16 18:16:23,2
2023-11-16 18:16:24,3
2023-11-16 18:16:25,4
2023-11-16 18:16:26,5
2023-11-16 18:16:27,3
2023-11-16 18:16:28,2
2023-11-16 18:16:29,9
2023-11-16 18:16:30,5
2023-11-16 18:16:31,4
2023-11-16 18:16:32,9
2023-11-16 18:16:33,7
2023-11-16 18:16:34,3
2023-11-16 18:16:35,6
2023-11-16 18:16:36,8
2023-11-16 18:16:37,8
2023-11-16 18:16:38,8
2023-11-16 18:16:39,5
2023-11-16 18:16:40,5
2023-11-16 18:16:41,3
2023-11-16 18:16:42,3
2023-11-16 18:16:43,1
2023-11-16 18:16:44,10
2023-11-16 18:16:45,2
2023-11-16 18:16:47,6
2023-11-16 18:16:48,7
2023-11-16 18:16:49,7
2023-11-16 18:16:50,4
2023-11-16 18:16:51,2
2023-11-16 18:16:52,12
2023-11-16 18:16:53,7
2023-11-16 18:16:54,2
2023-11-16 18:16:55,4
2023-11-16 18:16:56,1
2023-11-16 18:16:57,3
2023-11-16 18:16:58,3
2023-11-16 18:16:59,5
