Time,TIMESTAMP
2023-11-16 18:17:00,8
2023-11-16 18:17:10,4
2023-11-16 18:17:30,10
2023-11-16 18:17:40,41
2023-11-16 18:20:10,29
2023-11-16 18:20:20,143
2023-11-16 18:20:30,29
2023-11-16 18:20:40,62
2023-11-16 18:20:50,143
2023-11-16 18:21:00,125
2023-11-16 18:21:30,62
2023-11-16 18:21:40,61
2023-11-16 18:21:50,21
2023-11-16 18:22:00,54
2023-11-16 18:22:10,62
2023-11-16 18:22:20,8
2023-11-16 18:22:40,26
2023-11-16 18:22:50,23
2023-11-16 18:23:30,15
2023-11-16 18:24:10,42
2023-11-16 18:25:40,24
2023-11-16 18:25:50,14
2023-11-16 18:26:20,35
2023-11-16 18:26:30,102
2023-11-16 18:26:40,220
2023-11-16 18:26:50,119
2023-11-16 18:27:10,97
2023-11-16 18:27:20,136
2023-11-16 18:27:30,94
2023-11-16 18:27:40,36
2023-11-16 18:27:50,40
2023-11-16 18:28:00,18
2023-11-16 18:28:10,28
2023-11-16 18:28:20,35
2023-11-16 18:31:10,24
2023-11-16 18:31:20,204
2023-11-16 18:31:30,282
2023-11-16 18:31:40,58
2023-11-16 18:31:50,15
2023-11-16 18:32:00,60
2023-11-16 18:32:10,39
2023-11-16 18:32:20,117
2023-11-16 18:32:30,111
2023-11-16 18:32:40,21
2023-11-16 18:35:00,20
2023-11-16 18:35:10,93
2023-11-16 18:35:20,84
2023-11-16 18:35:30,68
2023-11-16 18:35:40,27
2023-11-16 18:35:50,24
2023-11-16 18:36:00,105
2023-11-16 18:36:10,27
2023-11-16 18:36:40,64
2023-11-16 18:36:50,130
2023-11-16 18:37:00,89
2023-11-16 18:37:10,74
2023-11-16 18:37:20,42
2023-11-16 18:38:30,76
2023-11-16 18:38:40,2
2023-11-16 18:39:20,64
2023-11-16 18:39:30,64
2023-11-16 18:39:40,27
2023-11-16 18:39:50,54
2023-11-16 18:40:00,102
2023-11-16 18:40:10,37
2023-11-16 18:40:20,11
2023-11-16 18:40:30,90
2023-11-16 18:40:40,120
2023-11-16 18:40:50,135
2023-11-16 18:41:00,52
2023-11-16 18:41:10,130
2023-11-16 18:41:20,16
2023-11-16 18:41:40,14
2023-11-16 18:41:50,78
2023-11-16 18:42:00,17
2023-11-16 18:42:10,28
2023-11-16 18:43:30,24
2023-11-16 18:43:40,81
2023-11-16 18:43:50,23
2023-11-16 18:44:10,11
2023-11-16 18:44:20,74
2023-11-16 18:44:30,26
2023-11-16 18:45:10,75
2023-11-16 18:45:20,144
2023-11-16 18:45:30,34
2023-11-16 18:45:50,41
2023-11-16 18:46:00,124
2023-11-16 18:46:10,26
2023-11-16 18:46:30,65
2023-11-16 18:46:40,66
2023-11-16 18:46:50,65
2023-11-16 18:47:10,60
2023-11-16 18:47:20,58
2023-11-16 18:48:10,5
2023-11-16 18:48:20,65
2023-11-16 18:48:30,28
2023-11-16 18:48:40,54
2023-11-16 18:48:50,17
2023-11-16 18:49:30,25
2023-11-16 18:49:40,29
2023-11-16 18:49:50,11
2023-11-16 18:50:00,76
2023-11-16 18:50:10,141
2023-11-16 18:50:20,17
2023-11-16 18:50:40,50
2023-11-16 18:50:50,68
2023-11-16 18:51:00,19
2023-11-16 18:51:10,17
2023-11-16 18:51:20,41
2023-11-16 18:51:30,12
2023-11-16 18:51:40,88
2023-11-16 18:53:20,23
2023-11-16 18:53:30,151
2023-11-16 18:53:40,66
2023-11-16 18:53:50,59
2023-11-16 18:54:00,43
2023-11-16 18:55:00,61
2023-11-16 18:55:10,128
2023-11-16 18:55:20,148
2023-11-16 18:56:10,38
2023-11-16 18:56:30,15
2023-11-16 18:56:40,67
2023-11-16 18:56:50,62
2023-11-16 18:57:00,9
2023-11-16 18:59:00,28
2023-11-16 18:59:10,55
2023-11-16 18:59:20,47
2023-11-16 18:59:40,24
2023-11-16 18:59:50,56
2023-11-16 19:00:00,24
2023-11-16 19:00:10,143
2023-11-16 19:00:20,101
2023-11-16 19:01:30,32
2023-11-16 19:01:40,63
2023-11-16 19:01:50,4
2023-11-16 19:04:30,8
2023-11-16 19:04:40,24
2023-11-16 19:08:20,51
2023-11-16 19:08:30,46
2023-11-16 19:09:20,31
2023-11-16 19:09:30,75
2023-11-16 19:09:40,24
2023-11-16 19:09:50,72
2023-11-16 19:10:00,10
2023-11-16 19:10:40,22
2023-11-16 19:12:00,35
2023-11-16 19:12:10,27
2023-11-16 19:12:50,39
2023-11-16 19:13:00,44
2023-11-16 19:14:00,71
2023-11-16 19:14:10,148
2023-11-16 19:14:20,24
