INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,VALUE
2024-05-09 15:20:00,2024-05-09 15:25:00,-0.20291
2024-05-09 15:25:00,2024-05-09 15:30:00,-1.57615
2024-05-09 15:30:00,2024-05-09 15:35:00,-2.16162
2024-05-09 15:35:00,2024-05-09 15:40:00,-4.08091
2024-05-09 15:40:00,2024-05-09 15:45:00,-6.45747
2024-05-09 15:45:00,2024-05-09 15:50:00,-6.14987
2024-05-09 15:50:00,2024-05-09 15:55:00,-6.37086
2024-05-09 15:55:00,2024-05-09 16:00:00,-6.23172
2024-05-09 16:00:00,2024-05-09 16:05:00,-3.01783
2024-05-09 16:05:00,2024-05-09 16:10:00,-3.52057
2024-05-09 16:10:00,2024-05-09 16:15:00,-4.78412
2024-05-09 16:15:00,2024-05-09 16:20:00,-5.84153
2024-05-09 16:20:00,2024-05-09 16:25:00,-6.76975
2024-05-09 16:25:00,2024-05-09 16:30:00,-6.88701
2024-05-09 16:30:00,2024-05-09 16:35:00,-6.89021
2024-05-09 16:35:00,2024-05-09 16:40:00,-8.0673
2024-05-09 16:40:00,2024-05-09 16:45:00,-8.92608
2024-05-09 16:45:00,2024-05-09 16:50:00,-8.27514
2024-05-09 16:50:00,2024-05-09 16:55:00,-9.05142
2024-05-09 16:55:00,2024-05-09 17:00:00,-9.31905
2024-05-09 17:00:00,2024-05-09 17:05:00,-2.03279
2024-05-09 17:05:00,2024-05-09 17:10:00,-2.26036
2024-05-09 17:10:00,2024-05-09 17:15:00,-2.87177
2024-05-09 17:15:00,2024-05-09 17:20:00,-4.07864
2024-05-09 17:20:00,2024-05-09 17:25:00,-4.07201
2024-05-09 17:25:00,2024-05-09 17:30:00,-3.74747
2024-05-09 17:30:00,2024-05-09 17:35:00,-4.13892
2024-05-09 17:35:00,2024-05-09 17:40:00,-5.89547
2024-05-09 17:40:00,2024-05-09 17:45:00,-3.82877
2024-05-09 17:45:00,2024-05-09 17:50:00,-6.75007
2024-05-09 17:50:00,2024-05-09 17:55:00,-6.75781
2024-05-09 17:55:00,2024-05-09 18:00:00,-6.65658
2024-05-09 18:00:00,2024-05-09 18:05:00,-8.96902
2024-05-09 18:05:00,2024-05-09 18:10:00,-8.72733
2024-05-09 18:10:00,2024-05-09 18:15:00,-9.67488
2024-05-09 18:15:00,2024-05-09 18:20:00,-10.2081
2024-05-09 18:20:00,2024-05-09 18:25:00,-9.87037
2024-05-09 18:25:00,2024-05-09 18:30:00,-9.91859
2024-05-09 18:30:00,2024-05-09 18:35:00,-8.89373
2024-05-09 18:35:00,2024-05-09 18:40:00,-9.25251
2024-05-09 18:40:00,2024-05-09 18:45:00,-9.83381
2024-05-09 18:45:00,2024-05-09 18:50:00,-12.38824
2024-05-09 18:50:00,2024-05-09 18:55:00,-12.41001
2024-05-09 18:55:00,2024-05-09 19:00:00,-11.61378
2024-05-09 19:00:00,2024-05-09 19:05:00,-9.59393
2024-05-09 19:05:00,2024-05-09 19:10:00,-9.54745
2024-05-09 19:10:00,2024-05-09 19:15:00,-10.1202
2024-05-09 19:15:00,2024-05-09 19:20:00,-9.60055
2024-05-09 19:20:00,2024-05-09 19:25:00,-9.05367
2024-05-09 19:25:00,2024-05-09 19:30:00,-9.56235
2024-05-09 19:30:00,2024-05-09 19:35:00,-10.22729
2024-05-09 19:35:00,2024-05-09 19:40:00,-11.77996
2024-05-09 19:40:00,2024-05-09 19:45:00,-12.46035
2024-05-09 19:45:00,2024-05-09 19:50:00,-12.6118
2024-05-09 19:50:00,2024-05-09 19:55:00,-11.31602
2024-05-09 19:55:00,2024-05-09 20:00:00,-12.99712
2024-05-09 20:00:00,2024-05-09 20:05:00,-12.16419
2024-05-09 20:05:00,2024-05-09 20:10:00,-12.18488
2024-05-09 20:10:00,2024-05-09 20:15:00,-12.17751
2024-05-09 20:15:00,2024-05-09 20:20:00,-10.07167
2024-05-09 20:20:00,2024-05-09 20:25:00,-12.07276
2024-05-09 20:25:00,2024-05-09 20:30:00,-12.04452
2024-05-09 20:30:00,2024-05-09 20:35:00,-22.85883
2024-05-09 20:35:00,2024-05-09 20:40:00,-23.16288
2024-05-09 20:40:00,2024-05-09 20:45:00,-22.55567
2024-05-09 20:45:00,2024-05-09 20:50:00,-21.34878
2024-05-09 20:50:00,2024-05-09 20:55:00,-21.90014
2024-05-09 20:55:00,2024-05-09 21:00:00,-21.8897
2024-05-09 21:00:00,2024-05-09 21:05:00,-7.55135
2024-05-09 21:05:00,2024-05-09 21:10:00,-7.54017
2024-05-09 21:10:00,2024-05-09 21:15:00,-7.51852
2024-05-09 21:15:00,2024-05-09 21:20:00,-8.36796
2024-05-09 21:20:00,2024-05-09 21:25:00,-8.65074
2024-05-09 21:25:00,2024-05-09 21:30:00,-8.64719
2024-05-09 21:30:00,2024-05-09 21:35:00,-8.64719
2024-05-09 21:35:00,2024-05-09 21:40:00,-8.64719
2024-05-09 21:40:00,2024-05-09 21:45:00,-8.64719
2024-05-09 21:45:00,2024-05-09 21:50:00,-14.78168
2024-05-09 21:50:00,2024-05-09 21:55:00,-14.46974
2024-05-09 21:55:00,2024-05-09 22:00:00,-11.83824
2024-05-09 22:00:00,2024-05-09 22:05:00,-7.84672
2024-05-09 22:05:00,2024-05-09 22:10:00,-5.41976
2024-05-09 22:10:00,2024-05-09 22:15:00,-7.38454
2024-05-09 22:15:00,2024-05-09 22:20:00,-8.11939
2024-05-09 22:20:00,2024-05-09 22:25:00,-5.61235
2024-05-09 22:25:00,2024-05-09 22:30:00,-5.78101
2024-05-09 22:30:00,2024-05-09 22:35:00,-4.39525
2024-05-09 22:35:00,2024-05-09 22:40:00,-3.41906
2024-05-09 22:40:00,2024-05-09 22:45:00,-1.78622
2024-05-09 22:45:00,2024-05-09 22:50:00,0.80506
2024-05-09 22:50:00,2024-05-09 22:55:00,-0.78314
2024-05-09 22:55:00,2024-05-09 23:00:00,-2.17245
2024-05-09 23:00:00,2024-05-09 23:05:00,1.61169
2024-05-09 23:05:00,2024-05-09 23:10:00,1.8141
2024-05-09 23:10:00,2024-05-09 23:15:00,2.55032
2024-05-09 23:15:00,2024-05-09 23:20:00,2.67016
2024-05-09 23:20:00,2024-05-09 23:25:00,-3.02443
2024-05-09 23:25:00,2024-05-09 23:30:00,-1.16647
2024-05-09 23:30:00,2024-05-09 23:35:00,1.39326
2024-05-09 23:35:00,2024-05-09 23:40:00,2.59397
2024-05-09 23:40:00,2024-05-09 23:45:00,5.03276
2024-05-09 23:45:00,2024-05-09 23:50:00,4.79315
2024-05-09 23:50:00,2024-05-09 23:55:00,4.76578
2024-05-09 23:55:00,2024-05-10 00:00:00,2.99495
2024-05-10 00:00:00,2024-05-10 00:05:00,-5.76064
2024-05-10 00:05:00,2024-05-10 00:10:00,-3.98856
2024-05-10 00:10:00,2024-05-10 00:15:00,-4.73668
2024-05-10 00:15:00,2024-05-10 00:20:00,-4.56843
2024-05-10 00:20:00,2024-05-10 00:25:00,-4.37745
2024-05-10 00:25:00,2024-05-10 00:30:00,-3.08774
2024-05-10 00:30:00,2024-05-10 00:35:00,3.32491
2024-05-10 00:35:00,2024-05-10 00:40:00,6.53858
2024-05-10 00:40:00,2024-05-10 00:45:00,7.01063
2024-05-10 00:45:00,2024-05-10 00:50:00,8.70235
2024-05-10 00:50:00,2024-05-10 00:55:00,10.6508
2024-05-10 00:55:00,2024-05-10 01:00:00,15.92084
2024-05-10 01:00:00,2024-05-10 01:05:00,4.96277
2024-05-10 01:05:00,2024-05-10 01:10:00,7.98274
2024-05-10 01:10:00,2024-05-10 01:15:00,9.39766
2024-05-10 01:15:00,2024-05-10 01:20:00,10.05777
2024-05-10 01:20:00,2024-05-10 01:25:00,18.472
2024-05-10 01:25:00,2024-05-10 01:30:00,23.37925
2024-05-10 01:30:00,2024-05-10 01:35:00,26.35488
2024-05-10 01:35:00,2024-05-10 01:40:00,28.63444
2024-05-10 01:40:00,2024-05-10 01:45:00,33.37979
2024-05-10 01:45:00,2024-05-10 01:50:00,38.0
2024-05-10 01:50:00,2024-05-10 01:55:00,47.95643
2024-05-10 01:55:00,2024-05-10 02:00:00,65.53
2024-05-10 02:00:00,2024-05-10 02:05:00,32.32165
2024-05-10 02:05:00,2024-05-10 02:10:00,32.96724
2024-05-10 02:10:00,2024-05-10 02:15:00,34.0
2024-05-10 02:15:00,2024-05-10 02:20:00,35.2676
2024-05-10 02:20:00,2024-05-10 02:25:00,37.01
2024-05-10 02:25:00,2024-05-10 02:30:00,38.0
2024-05-10 02:30:00,2024-05-10 02:35:00,42.0
2024-05-10 02:35:00,2024-05-10 02:40:00,39.9976
2024-05-10 02:40:00,2024-05-10 02:45:00,39.7488
2024-05-10 02:45:00,2024-05-10 02:50:00,36.54
2024-05-10 02:50:00,2024-05-10 02:55:00,36.43
2024-05-10 02:55:00,2024-05-10 03:00:00,36.35619
2024-05-10 03:00:00,2024-05-10 03:05:00,36.16219
2024-05-10 03:05:00,2024-05-10 03:10:00,36.1526
2024-05-10 03:10:00,2024-05-10 03:15:00,36.16614
2024-05-10 03:15:00,2024-05-10 03:20:00,36.12344
2024-05-10 03:20:00,2024-05-10 03:25:00,35.99952
2024-05-10 03:25:00,2024-05-10 03:30:00,35.99846
2024-05-10 03:30:00,2024-05-10 03:35:00,35.45169
2024-05-10 03:35:00,2024-05-10 03:40:00,35.01908
2024-05-10 03:40:00,2024-05-10 03:45:00,35.14096
2024-05-10 03:45:00,2024-05-10 03:50:00,32.75207
2024-05-10 03:50:00,2024-05-10 03:55:00,32.45288
2024-05-10 03:55:00,2024-05-10 04:00:00,32.88517
2024-05-10 04:00:00,2024-05-10 04:05:00,36.12004
2024-05-10 04:05:00,2024-05-10 04:10:00,37.1591
2024-05-10 04:10:00,2024-05-10 04:15:00,36.79319
2024-05-10 04:15:00,2024-05-10 04:20:00,35.9654
2024-05-10 04:20:00,2024-05-10 04:25:00,35.9654
2024-05-10 04:25:00,2024-05-10 04:30:00,35.79261
2024-05-10 04:30:00,2024-05-10 04:35:00,34.29338
2024-05-10 04:35:00,2024-05-10 04:40:00,34.26907
2024-05-10 04:40:00,2024-05-10 04:45:00,34.16227
2024-05-10 04:45:00,2024-05-10 04:50:00,34.2518
2024-05-10 04:50:00,2024-05-10 04:55:00,34.07653
2024-05-10 04:55:00,2024-05-10 05:00:00,33.72475
2024-05-10 05:00:00,2024-05-10 05:05:00,36.25401
2024-05-10 05:05:00,2024-05-10 05:10:00,36.25297
2024-05-10 05:10:00,2024-05-10 05:15:00,36.25297
2024-05-10 05:15:00,2024-05-10 05:20:00,36.08686
2024-05-10 05:20:00,2024-05-10 05:25:00,36.51187
2024-05-10 05:25:00,2024-05-10 05:30:00,35.65737
2024-05-10 05:30:00,2024-05-10 05:35:00,35.97193
2024-05-10 05:35:00,2024-05-10 05:40:00,34.97383
2024-05-10 05:40:00,2024-05-10 05:45:00,33.80451
2024-05-10 05:45:00,2024-05-10 05:50:00,32.82306
2024-05-10 05:50:00,2024-05-10 05:55:00,32.82296
2024-05-10 05:55:00,2024-05-10 06:00:00,33.1081
2024-05-10 06:00:00,2024-05-10 06:05:00,34.20135
2024-05-10 06:05:00,2024-05-10 06:10:00,33.99817
2024-05-10 06:10:00,2024-05-10 06:15:00,33.1545
2024-05-10 06:15:00,2024-05-10 06:20:00,32.73254
2024-05-10 06:20:00,2024-05-10 06:25:00,33.68608
2024-05-10 06:25:00,2024-05-10 06:30:00,32.98041
2024-05-10 06:30:00,2024-05-10 06:35:00,33.75055
2024-05-10 06:35:00,2024-05-10 06:40:00,33.58633
2024-05-10 06:40:00,2024-05-10 06:45:00,33.09381
2024-05-10 06:45:00,2024-05-10 06:50:00,31.89272
2024-05-10 06:50:00,2024-05-10 06:55:00,31.21044
2024-05-10 06:55:00,2024-05-10 07:00:00,32.52044
2024-05-10 07:00:00,2024-05-10 07:05:00,40.32074
2024-05-10 07:05:00,2024-05-10 07:10:00,40.91159
2024-05-10 07:10:00,2024-05-10 07:15:00,39.38605
2024-05-10 07:15:00,2024-05-10 07:20:00,39.56726
2024-05-10 07:20:00,2024-05-10 07:25:00,42.20966
2024-05-10 07:25:00,2024-05-10 07:30:00,44.19816
2024-05-10 07:30:00,2024-05-10 07:35:00,43.11983
2024-05-10 07:35:00,2024-05-10 07:40:00,43.84585
2024-05-10 07:40:00,2024-05-10 07:45:00,40.5636
2024-05-10 07:45:00,2024-05-10 07:50:00,43.11983
2024-05-10 07:50:00,2024-05-10 07:55:00,40.55973
2024-05-10 07:55:00,2024-05-10 08:00:00,44.44145
2024-05-10 08:00:00,2024-05-10 08:05:00,49.48648
2024-05-10 08:05:00,2024-05-10 08:10:00,48.75347
2024-05-10 08:10:00,2024-05-10 08:15:00,45.51392
2024-05-10 08:15:00,2024-05-10 08:20:00,45.89126
2024-05-10 08:20:00,2024-05-10 08:25:00,40.70752
2024-05-10 08:25:00,2024-05-10 08:30:00,39.36902
2024-05-10 08:30:00,2024-05-10 08:35:00,33.96664
2024-05-10 08:35:00,2024-05-10 08:40:00,33.82807
2024-05-10 08:40:00,2024-05-10 08:45:00,33.96657
2024-05-10 08:45:00,2024-05-10 08:50:00,33.96657
2024-05-10 08:50:00,2024-05-10 08:55:00,33.5
2024-05-10 08:55:00,2024-05-10 09:00:00,33.95272
2024-05-10 09:00:00,2024-05-10 09:05:00,35.66186
2024-05-10 09:05:00,2024-05-10 09:10:00,35.26847
2024-05-10 09:10:00,2024-05-10 09:15:00,34.7766
2024-05-10 09:15:00,2024-05-10 09:20:00,34.23251
2024-05-10 09:20:00,2024-05-10 09:25:00,35.80945
2024-05-10 09:25:00,2024-05-10 09:30:00,35.80945
2024-05-10 09:30:00,2024-05-10 09:35:00,35.80344
2024-05-10 09:35:00,2024-05-10 09:40:00,35.80344
2024-05-10 09:40:00,2024-05-10 09:45:00,34.89934
2024-05-10 09:45:00,2024-05-10 09:50:00,33.94882
2024-05-10 09:50:00,2024-05-10 09:55:00,33.57307
2024-05-10 09:55:00,2024-05-10 10:00:00,32.09216
2024-05-10 10:00:00,2024-05-10 10:05:00,30.86102
2024-05-10 10:05:00,2024-05-10 10:10:00,30.86102
2024-05-10 10:10:00,2024-05-10 10:15:00,30.72913
2024-05-10 10:15:00,2024-05-10 10:20:00,32.55377
2024-05-10 10:20:00,2024-05-10 10:25:00,32.29936
2024-05-10 10:25:00,2024-05-10 10:30:00,32.32919
2024-05-10 10:30:00,2024-05-10 10:35:00,31.43296
2024-05-10 10:35:00,2024-05-10 10:40:00,31.46387
2024-05-10 10:40:00,2024-05-10 10:45:00,31.2748
2024-05-10 10:45:00,2024-05-10 10:50:00,31.49257
2024-05-10 10:50:00,2024-05-10 10:55:00,31.49304
2024-05-10 10:55:00,2024-05-10 11:00:00,32.06079
2024-05-10 11:00:00,2024-05-10 11:05:00,32.39035
2024-05-10 11:05:00,2024-05-10 11:10:00,32.3866
2024-05-10 11:10:00,2024-05-10 11:15:00,32.35315
2024-05-10 11:15:00,2024-05-10 11:20:00,32.18936
2024-05-10 11:20:00,2024-05-10 11:25:00,35.00041
2024-05-10 11:25:00,2024-05-10 11:30:00,35.62434
2024-05-10 11:30:00,2024-05-10 11:35:00,36.2125
2024-05-10 11:35:00,2024-05-10 11:40:00,37.12733
2024-05-10 11:40:00,2024-05-10 11:45:00,37.12837
2024-05-10 11:45:00,2024-05-10 11:50:00,38.14682
2024-05-10 11:50:00,2024-05-10 11:55:00,38.57401
2024-05-10 11:55:00,2024-05-10 12:00:00,41.06755
2024-05-10 12:00:00,2024-05-10 12:05:00,32.8736
2024-05-10 12:05:00,2024-05-10 12:10:00,31.44296
2024-05-10 12:10:00,2024-05-10 12:15:00,33.9577
2024-05-10 12:15:00,2024-05-10 12:20:00,34.51904
2024-05-10 12:20:00,2024-05-10 12:25:00,35.64326
2024-05-10 12:25:00,2024-05-10 12:30:00,36.47934
2024-05-10 12:30:00,2024-05-10 12:35:00,36.44375
2024-05-10 12:35:00,2024-05-10 12:40:00,36.65228
2024-05-10 12:40:00,2024-05-10 12:45:00,36.83248
2024-05-10 12:45:00,2024-05-10 12:50:00,37.10974
2024-05-10 12:50:00,2024-05-10 12:55:00,38.58301
2024-05-10 12:55:00,2024-05-10 13:00:00,42.04662
2024-05-10 13:00:00,2024-05-10 13:05:00,41.33264
2024-05-10 13:05:00,2024-05-10 13:10:00,38.65126
2024-05-10 13:10:00,2024-05-10 13:15:00,34.46294
2024-05-10 13:15:00,2024-05-10 13:20:00,34.2466
2024-05-10 13:20:00,2024-05-10 13:25:00,33.96367
2024-05-10 13:25:00,2024-05-10 13:30:00,31.44245
2024-05-10 13:30:00,2024-05-10 13:35:00,30.2212
2024-05-10 13:35:00,2024-05-10 13:40:00,28.08878
2024-05-10 13:40:00,2024-05-10 13:45:00,25.62748
2024-05-10 13:45:00,2024-05-10 13:50:00,24.94706
2024-05-10 13:50:00,2024-05-10 13:55:00,23.6736
2024-05-10 13:55:00,2024-05-10 14:00:00,23.38682
2024-05-10 14:00:00,2024-05-10 14:05:00,23.81521
2024-05-10 14:05:00,2024-05-10 14:10:00,23.98304
2024-05-10 14:10:00,2024-05-10 14:15:00,22.26366
2024-05-10 14:15:00,2024-05-10 14:20:00,23.54096
2024-05-10 14:20:00,2024-05-10 14:25:00,24.88681
2024-05-10 14:25:00,2024-05-10 14:30:00,17.52446
2024-05-10 14:30:00,2024-05-10 14:35:00,17.52446
2024-05-10 14:35:00,2024-05-10 14:40:00,-1.08093
2024-05-10 14:40:00,2024-05-10 14:45:00,-3.75822
2024-05-10 14:45:00,2024-05-10 14:50:00,-4.55674
2024-05-10 14:50:00,2024-05-10 14:55:00,-3.51468
2024-05-10 14:55:00,2024-05-10 15:00:00,-5.21249
2024-05-10 15:00:00,2024-05-10 15:05:00,-0.54619
2024-05-10 15:05:00,2024-05-10 15:10:00,-0.40262
2024-05-10 15:10:00,2024-05-10 15:15:00,-0.08788
2024-05-10 15:15:00,2024-05-10 15:20:00,0.28716
2024-05-10 15:20:00,2024-05-10 15:25:00,0.28017
2024-05-10 15:25:00,2024-05-10 15:30:00,0.53234
2024-05-10 15:30:00,2024-05-10 15:35:00,0.51448
2024-05-10 15:35:00,2024-05-10 15:40:00,-0.54882
2024-05-10 15:40:00,2024-05-10 15:45:00,-0.78772
2024-05-10 15:45:00,2024-05-10 15:50:00,-1.39052
2024-05-10 15:50:00,2024-05-10 15:55:00,-1.67533
2024-05-10 15:55:00,2024-05-10 16:00:00,-1.87182
2024-05-10 16:00:00,2024-05-10 16:05:00,0.2377
2024-05-10 16:05:00,2024-05-10 16:10:00,-0.48343
2024-05-10 16:10:00,2024-05-10 16:15:00,-2.38238
2024-05-10 16:15:00,2024-05-10 16:20:00,-1.71417
2024-05-10 16:20:00,2024-05-10 16:25:00,-1.68098
2024-05-10 16:25:00,2024-05-10 16:30:00,-2.36389
2024-05-10 16:30:00,2024-05-10 16:35:00,0.5292
2024-05-10 16:35:00,2024-05-10 16:40:00,-1.22157
2024-05-10 16:40:00,2024-05-10 16:45:00,-1.71211
2024-05-10 16:45:00,2024-05-10 16:50:00,-4.03541
2024-05-10 16:50:00,2024-05-10 16:55:00,-5.24407
2024-05-10 16:55:00,2024-05-10 17:00:00,-4.55778
2024-05-10 17:00:00,2024-05-10 17:05:00,0.45817
2024-05-10 17:05:00,2024-05-10 17:10:00,-1.53428
2024-05-10 17:10:00,2024-05-10 17:15:00,1.4287
2024-05-10 17:15:00,2024-05-10 17:20:00,0.65457
2024-05-10 17:20:00,2024-05-10 17:25:00,-0.06594
2024-05-10 17:25:00,2024-05-10 17:30:00,-0.3648
2024-05-10 17:30:00,2024-05-10 17:35:00,-4.72931
2024-05-10 17:35:00,2024-05-10 17:40:00,-4.81602
2024-05-10 17:40:00,2024-05-10 17:45:00,-5.02172
2024-05-10 17:45:00,2024-05-10 17:50:00,-6.39962
2024-05-10 17:50:00,2024-05-10 17:55:00,-3.88976
2024-05-10 17:55:00,2024-05-10 18:00:00,-2.35062
2024-05-10 18:00:00,2024-05-10 18:05:00,-4.87454
2024-05-10 18:05:00,2024-05-10 18:10:00,-11.59609
2024-05-10 18:10:00,2024-05-10 18:15:00,-12.82641
2024-05-10 18:15:00,2024-05-10 18:20:00,-10.14836
2024-05-10 18:20:00,2024-05-10 18:25:00,-10.17489
2024-05-10 18:25:00,2024-05-10 18:30:00,-11.16385
2024-05-10 18:30:00,2024-05-10 18:35:00,-6.77951
2024-05-10 18:35:00,2024-05-10 18:40:00,-7.28236
2024-05-10 18:40:00,2024-05-10 18:45:00,-2.0933
2024-05-10 18:45:00,2024-05-10 18:50:00,-2.05213
2024-05-10 18:50:00,2024-05-10 18:55:00,-0.81598
2024-05-10 18:55:00,2024-05-10 19:00:00,-8.99771
2024-05-10 19:00:00,2024-05-10 19:05:00,-2.9115
2024-05-10 19:05:00,2024-05-10 19:10:00,-2.60168
2024-05-10 19:10:00,2024-05-10 19:15:00,-1.73065
2024-05-10 19:15:00,2024-05-10 19:20:00,-3.82431
2024-05-10 19:20:00,2024-05-10 19:25:00,-3.51005
2024-05-10 19:25:00,2024-05-10 19:30:00,-3.37494
2024-05-10 19:30:00,2024-05-10 19:35:00,-3.29702
2024-05-10 19:35:00,2024-05-10 19:40:00,1.11318
2024-05-10 19:40:00,2024-05-10 19:45:00,3.37862
2024-05-10 19:45:00,2024-05-10 19:50:00,-3.71879
2024-05-10 19:50:00,2024-05-10 19:55:00,-3.99488
2024-05-10 19:55:00,2024-05-10 20:00:00,-2.22033
