INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,VALUE
2024-05-09 07:00:00,2024-05-09 07:05:00,48.469
2024-05-09 07:05:00,2024-05-09 07:10:00,59.33909
2024-05-09 07:10:00,2024-05-09 07:15:00,50.80666
2024-05-09 07:15:00,2024-05-09 07:20:00,49.45617
2024-05-09 07:20:00,2024-05-09 07:25:00,59.44253
2024-05-09 07:25:00,2024-05-09 07:30:00,50.74162
2024-05-09 07:30:00,2024-05-09 07:35:00,52.49982
2024-05-09 07:35:00,2024-05-09 07:40:00,51.90646
2024-05-09 07:40:00,2024-05-09 07:45:00,53.32458
2024-05-09 07:45:00,2024-05-09 07:50:00,47.84196
2024-05-09 07:50:00,2024-05-09 07:55:00,43.04228
2024-05-09 07:55:00,2024-05-09 08:00:00,42.09258
2024-05-09 08:00:00,2024-05-09 08:05:00,58.03246
2024-05-09 08:05:00,2024-05-09 08:10:00,54.82528
2024-05-09 08:10:00,2024-05-09 08:15:00,54.14026
2024-05-09 08:15:00,2024-05-09 08:20:00,50.09964
2024-05-09 08:20:00,2024-05-09 08:25:00,50.15719
2024-05-09 08:25:00,2024-05-09 08:30:00,38.09901
2024-05-09 08:30:00,2024-05-09 08:35:00,37.89859
2024-05-09 08:35:00,2024-05-09 08:40:00,36.87842
2024-05-09 08:40:00,2024-05-09 08:45:00,37.13205
2024-05-09 08:45:00,2024-05-09 08:50:00,35.73098
2024-05-09 08:50:00,2024-05-09 08:55:00,34.8095
2024-05-09 08:55:00,2024-05-09 09:00:00,33.06942
2024-05-09 09:00:00,2024-05-09 09:05:00,34.57071
2024-05-09 09:05:00,2024-05-09 09:10:00,34.42423
2024-05-09 09:10:00,2024-05-09 09:15:00,36.50581
2024-05-09 09:15:00,2024-05-09 09:20:00,36.4275
2024-05-09 09:20:00,2024-05-09 09:25:00,34.50455
2024-05-09 09:25:00,2024-05-09 09:30:00,34.50431
2024-05-09 09:30:00,2024-05-09 09:35:00,34.06583
2024-05-09 09:35:00,2024-05-09 09:40:00,35.93085
2024-05-09 09:40:00,2024-05-09 09:45:00,35.50279
2024-05-09 09:45:00,2024-05-09 09:50:00,35.30364
2024-05-09 09:50:00,2024-05-09 09:55:00,34.65169
2024-05-09 09:55:00,2024-05-09 10:00:00,34.65169
2024-05-09 10:00:00,2024-05-09 10:05:00,36.08525
2024-05-09 10:05:00,2024-05-09 10:10:00,36.0863
2024-05-09 10:10:00,2024-05-09 10:15:00,36.31927
2024-05-09 10:15:00,2024-05-09 10:20:00,36.17449
2024-05-09 10:20:00,2024-05-09 10:25:00,36.13839
2024-05-09 10:25:00,2024-05-09 10:30:00,38.17262
2024-05-09 10:30:00,2024-05-09 10:35:00,37.45812
2024-05-09 10:35:00,2024-05-09 10:40:00,36.81242
2024-05-09 10:40:00,2024-05-09 10:45:00,36.35761
2024-05-09 10:45:00,2024-05-09 10:50:00,36.24087
2024-05-09 10:50:00,2024-05-09 10:55:00,36.20214
2024-05-09 10:55:00,2024-05-09 11:00:00,36.2685
2024-05-09 11:00:00,2024-05-09 11:05:00,32.12199
2024-05-09 11:05:00,2024-05-09 11:10:00,33.79277
2024-05-09 11:10:00,2024-05-09 11:15:00,34.59329
2024-05-09 11:15:00,2024-05-09 11:20:00,34.73862
2024-05-09 11:20:00,2024-05-09 11:25:00,36.25764
2024-05-09 11:25:00,2024-05-09 11:30:00,36.36539
2024-05-09 11:30:00,2024-05-09 11:35:00,36.56437
2024-05-09 11:35:00,2024-05-09 11:40:00,36.56543
2024-05-09 11:40:00,2024-05-09 11:45:00,37.85725
2024-05-09 11:45:00,2024-05-09 11:50:00,38.25613
2024-05-09 11:50:00,2024-05-09 11:55:00,39.10097
2024-05-09 11:55:00,2024-05-09 12:00:00,39.81427
2024-05-09 12:00:00,2024-05-09 12:05:00,34.19308
2024-05-09 12:05:00,2024-05-09 12:10:00,32.89284
2024-05-09 12:10:00,2024-05-09 12:15:00,35.9034
2024-05-09 12:15:00,2024-05-09 12:20:00,35.67123
2024-05-09 12:20:00,2024-05-09 12:25:00,36.75959
2024-05-09 12:25:00,2024-05-09 12:30:00,38.09733
2024-05-09 12:30:00,2024-05-09 12:35:00,37.46714
2024-05-09 12:35:00,2024-05-09 12:40:00,37.76526
2024-05-09 12:40:00,2024-05-09 12:45:00,37.79308
2024-05-09 12:45:00,2024-05-09 12:50:00,39.33589
2024-05-09 12:50:00,2024-05-09 12:55:00,41.11677
2024-05-09 12:55:00,2024-05-09 13:00:00,42.68741
2024-05-09 13:00:00,2024-05-09 13:05:00,46.3385
2024-05-09 13:05:00,2024-05-09 13:10:00,44.84972
2024-05-09 13:10:00,2024-05-09 13:15:00,44.15352
2024-05-09 13:15:00,2024-05-09 13:20:00,42.7728
2024-05-09 13:20:00,2024-05-09 13:25:00,42.13794
2024-05-09 13:25:00,2024-05-09 13:30:00,42.58611
2024-05-09 13:30:00,2024-05-09 13:35:00,38.45138
2024-05-09 13:35:00,2024-05-09 13:40:00,29.23909
2024-05-09 13:40:00,2024-05-09 13:45:00,26.68801
2024-05-09 13:45:00,2024-05-09 13:50:00,25.00481
2024-05-09 13:50:00,2024-05-09 13:55:00,20.64859
2024-05-09 13:55:00,2024-05-09 14:00:00,19.89635
2024-05-09 14:00:00,2024-05-09 14:05:00,22.31224
2024-05-09 14:05:00,2024-05-09 14:10:00,20.28217
2024-05-09 14:10:00,2024-05-09 14:15:00,15.00252
2024-05-09 14:15:00,2024-05-09 14:20:00,15.01135
2024-05-09 14:20:00,2024-05-09 14:25:00,9.99847
2024-05-09 14:25:00,2024-05-09 14:30:00,10.61608
2024-05-09 14:30:00,2024-05-09 14:35:00,10.00395
2024-05-09 14:35:00,2024-05-09 14:40:00,8.24659
2024-05-09 14:40:00,2024-05-09 14:45:00,2.50035
2024-05-09 14:45:00,2024-05-09 14:50:00,0.60612
2024-05-09 14:50:00,2024-05-09 14:55:00,-6.24565
2024-05-09 14:55:00,2024-05-09 15:00:00,-7.91399
2024-05-09 15:00:00,2024-05-09 15:05:00,2.12102
2024-05-09 15:05:00,2024-05-09 15:10:00,2.52175
2024-05-09 15:10:00,2024-05-09 15:15:00,2.62424
2024-05-09 15:15:00,2024-05-09 15:20:00,0.50613
