INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,VALUE
2023-11-15 08:00:00,2023-11-15 08:05:00,67.01688
2023-11-15 08:05:00,2023-11-15 08:10:00,71.31808
2023-11-15 08:10:00,2023-11-15 08:15:00,70.51826
2023-11-15 08:15:00,2023-11-15 08:20:00,67.90067
2023-11-15 08:20:00,2023-11-15 08:25:00,67.4309
2023-11-15 08:25:00,2023-11-15 08:30:00,66.32759
2023-11-15 08:30:00,2023-11-15 08:35:00,65.8178
2023-11-15 08:35:00,2023-11-15 08:40:00,65.75024
2023-11-15 08:40:00,2023-11-15 08:45:00,65.96797
2023-11-15 08:45:00,2023-11-15 08:50:00,66.02879
2023-11-15 08:50:00,2023-11-15 08:55:00,65.75736
2023-11-15 08:55:00,2023-11-15 09:00:00,65.75736
2023-11-15 09:00:00,2023-11-15 09:05:00,68.16227
2023-11-15 09:05:00,2023-11-15 09:10:00,67.13975
2023-11-15 09:10:00,2023-11-15 09:15:00,65.82524
2023-11-15 09:15:00,2023-11-15 09:20:00,65.41644
2023-11-15 09:20:00,2023-11-15 09:25:00,65.23272
2023-11-15 09:25:00,2023-11-15 09:30:00,64.1749
2023-11-15 09:30:00,2023-11-15 09:35:00,64.37539
2023-11-15 09:35:00,2023-11-15 09:40:00,63.34684
2023-11-15 09:40:00,2023-11-15 09:45:00,63.32805
2023-11-15 09:45:00,2023-11-15 09:50:00,63.26717
2023-11-15 09:50:00,2023-11-15 09:55:00,63.2217
2023-11-15 09:55:00,2023-11-15 10:00:00,63.26717
2023-11-15 10:00:00,2023-11-15 10:05:00,63.70095
2023-11-15 10:05:00,2023-11-15 10:10:00,63.23947
2023-11-15 10:10:00,2023-11-15 10:15:00,63.33859
2023-11-15 10:15:00,2023-11-15 10:20:00,63.07887
2023-11-15 10:20:00,2023-11-15 10:25:00,63.07887
2023-11-15 10:25:00,2023-11-15 10:30:00,63.16925
2023-11-15 10:30:00,2023-11-15 10:35:00,63.79838
2023-11-15 10:35:00,2023-11-15 10:40:00,63.67887
2023-11-15 10:40:00,2023-11-15 10:45:00,63.45531
2023-11-15 10:45:00,2023-11-15 10:50:00,63.66715
2023-11-15 10:50:00,2023-11-15 10:55:00,63.66715
2023-11-15 10:55:00,2023-11-15 11:00:00,63.66772
2023-11-15 11:00:00,2023-11-15 11:05:00,62.5777
2023-11-15 11:05:00,2023-11-15 11:10:00,63.00101
2023-11-15 11:10:00,2023-11-15 11:15:00,63.07156
2023-11-15 11:15:00,2023-11-15 11:20:00,63.56729
2023-11-15 11:20:00,2023-11-15 11:25:00,63.56729
2023-11-15 11:25:00,2023-11-15 11:30:00,63.69447
2023-11-15 11:30:00,2023-11-15 11:35:00,63.77501
2023-11-15 11:35:00,2023-11-15 11:40:00,63.66383
2023-11-15 11:40:00,2023-11-15 11:45:00,63.77501
2023-11-15 11:45:00,2023-11-15 11:50:00,64.11763
2023-11-15 11:50:00,2023-11-15 11:55:00,64.40838
2023-11-15 11:55:00,2023-11-15 12:00:00,66.1315
2023-11-15 12:00:00,2023-11-15 12:05:00,64.71831
2023-11-15 12:05:00,2023-11-15 12:10:00,66.02141
