Time,TIMESTAMP
2023-11-16 18:17:04,5
2023-11-16 18:17:05,7
2023-11-16 18:17:33,1
2023-11-16 18:17:34,8
2023-11-16 18:17:35,4
2023-11-16 18:17:36,2
2023-11-16 18:17:37,4
2023-11-16 18:17:38,10
2023-11-16 18:17:39,5
2023-11-16 18:17:40,3
2023-11-16 18:17:41,5
2023-11-16 18:17:42,3
2023-11-16 18:17:43,6
2023-11-16 18:20:07,6
2023-11-16 18:20:08,3
2023-11-16 18:20:11,4
2023-11-16 18:20:12,15
2023-11-16 18:20:13,1
2023-11-16 18:20:15,3
2023-11-16 18:20:16,14
2023-11-16 18:20:17,3
2023-11-16 18:20:19,6
2023-11-16 18:20:20,16
2023-11-16 18:20:21,27
2023-11-16 18:20:22,18
2023-11-16 18:20:23,33
2023-11-16 18:20:24,17
2023-11-16 18:20:25,7
2023-11-16 18:20:26,9
2023-11-16 18:20:27,3
2023-11-16 18:20:28,4
2023-11-16 18:20:29,10
2023-11-16 18:20:30,2
2023-11-16 18:20:38,9
2023-11-16 18:20:39,18
2023-11-16 18:20:40,7
2023-11-16 18:20:41,4
2023-11-16 18:20:43,2
2023-11-16 18:20:44,20
2023-11-16 18:20:45,9
2023-11-16 18:20:46,16
2023-11-16 18:20:47,17
2023-11-16 18:20:48,11
2023-11-16 18:20:49,27
2023-11-16 18:20:50,7
2023-11-16 18:20:51,14
2023-11-16 18:20:52,23
2023-11-16 18:20:54,11
2023-11-16 18:20:55,11
2023-11-16 18:20:56,26
2023-11-16 18:20:57,33
2023-11-16 18:20:58,21
2023-11-16 18:20:59,28
2023-11-16 18:21:00,16
2023-11-16 18:21:25,5
2023-11-16 18:21:26,12
2023-11-16 18:21:27,10
2023-11-16 18:21:28,10
2023-11-16 18:21:29,6
2023-11-16 18:21:30,5
2023-11-16 18:21:33,5
2023-11-16 18:21:34,8
2023-11-16 18:21:35,5
2023-11-16 18:21:36,6
2023-11-16 18:21:37,5
2023-11-16 18:21:38,12
2023-11-16 18:21:39,10
2023-11-16 18:21:40,7
2023-11-16 18:21:41,6
2023-11-16 18:21:42,6
2023-11-16 18:21:43,5
2023-11-16 18:21:46,7
2023-11-16 18:21:47,2
2023-11-16 18:21:48,7
2023-11-16 18:21:49,5
2023-11-16 18:21:57,6
2023-11-16 18:21:58,5
2023-11-16 18:21:59,7
2023-11-16 18:22:00,9
2023-11-16 18:22:01,5
2023-11-16 18:22:02,5
2023-11-16 18:22:03,2
2023-11-16 18:22:04,10
2023-11-16 18:22:05,9
2023-11-16 18:22:06,4
2023-11-16 18:22:07,5
2023-11-16 18:22:08,9
2023-11-16 18:22:09,5
2023-11-16 18:22:10,4
2023-11-16 18:22:11,8
2023-11-16 18:22:12,7
2023-11-16 18:22:13,5
2023-11-16 18:22:14,8
2023-11-16 18:22:15,6
2023-11-16 18:22:16,3
2023-11-16 18:22:17,2
2023-11-16 18:22:40,1
2023-11-16 18:22:41,8
2023-11-16 18:22:42,5
2023-11-16 18:22:43,3
2023-11-16 18:22:44,6
2023-11-16 18:22:45,5
2023-11-16 18:22:46,5
2023-11-16 18:22:47,4
2023-11-16 18:22:48,6
2023-11-16 18:22:49,4
2023-11-16 18:22:50,2
2023-11-16 18:23:28,4
2023-11-16 18:23:29,4
2023-11-16 18:23:30,7
2023-11-16 18:24:06,2
2023-11-16 18:24:07,10
2023-11-16 18:24:08,7
2023-11-16 18:24:09,4
2023-11-16 18:24:10,7
2023-11-16 18:24:11,3
2023-11-16 18:24:12,6
2023-11-16 18:24:13,3
2023-11-16 18:25:40,5
2023-11-16 18:25:41,6
2023-11-16 18:25:42,6
2023-11-16 18:25:44,5
2023-11-16 18:25:45,7
2023-11-16 18:25:46,7
2023-11-16 18:25:48,2
2023-11-16 18:26:22,20
2023-11-16 18:26:23,2
2023-11-16 18:26:24,10
2023-11-16 18:26:25,3
2023-11-16 18:26:27,7
2023-11-16 18:26:28,17
2023-11-16 18:26:29,9
2023-11-16 18:26:30,2
2023-11-16 18:26:32,4
2023-11-16 18:26:33,16
2023-11-16 18:26:34,33
2023-11-16 18:26:35,25
2023-11-16 18:26:36,28
2023-11-16 18:26:37,39
